Domain,Brand,Category,Model,Info,Category Id,Root Id
adayroi.com,Sunquick,Nước trái cây,Nước hỗn hợp táo Sunquick (Thùng 6 lốc x 4 hộp x 125ml),Sản_xuất trái_cây nguyên_chất công_nghệ hiện_đại . Nước ép cung_cấp vitamin cần_thiết cơ_thể . Vị ngon thơm dịu_ngọt hoa_quả giúp kích_thích vị_giác . Xuất_xứ Malaysia Quy_cách đóng_gói Thùng Hương_vị Táo Hạn 12 Nguồn_gốc Nhập_khẩu Hướng_dẫn bảo_quản Nơi khô_ráo thoáng mát ánh nắng mặt_trời Hướng_dẫn Uống ngon uống lạnh Thành_phần Nước đường ép táo đặc . Thương_hiệu Sunquick Dung_tích cơ_sở 125mlhộp . Được sản_xuất trái_cây nguyên_chất dây_chuyền công_nghệ hiện_đại đi_chất dinh_dưỡng trái_cây Nước hỗn_hợp táo Sunquick chất màu an_toàn vệ_sinh thực_phẩm . Sản_phẩm đóng hộpnhỏ gọn tiện_lợi dễ_dàng đi tập_thể_thao chuyến du_lịch dã_ngoại . Hương_vị thơm ngon hấp_dẫn Sản_phẩm chứa vitamin A_C E hương_vị thơm ngon chậm lão_hóa ổn_định đường_huyết . Vị_táongon tuyệt sản_phẩm dưỡng_chất lợi sức_khỏe giúp khỏe_khoắn sảng_khoái tinh_thần . Đặc_biệt Nước hỗn_hợp táo Sunquick giúp duy_trì trạng_thái cân_bằng vi_khuẩn vi_khuẩn hại ruột giúp hệ tiêu_hóa vận_hành thuận_lợi .,62,9
adayroi.com,Downy,"Hóa phẩm, chất tẩy","Nước xả vải đậm đặc Downy Huyền bí dạng chai 1,8L",Lưu_ý dung_tích bao_bì sản_phẩm tùy đợt sản_xuất . Hương thơm lưu_giữ vải . Giúp vải mềm_mại sạch khuẩn . Sản_phẩm an_toàn làn da . Dung_tích 1800ml Hướng_dẫn bảo_quản Để khô_ráo ánh nắng . Để tầm trẻ_em . Đậy kín chảy đổ . Thành_phần Nước diethylester dimethyl ammonium chloride calcium chloride cationic arylic polymer fomic acid hydrochloric acid sodium1 hydroxyethane1 1disphosphonate benzyl isothiazolinone silicone chất hương chất màu Công_dụng Làm mềm vải lưu_giữ hương thơm áo_quần Hạn 3 sản_xuất Quy_cách đóng_gói Chai . Giúp quần_áo mềm_mại thơm mát Nước xả vải Downy huyền_bí 18L giúp vải_vóc quần_áo mềm_mại bền màu đẹp hương thơm dễ_chịu thơm mát . Lưu_giữ mùi hương quần_áo Là sản_phẩm sưu_tập Downy nước_hoa ứng_dụng công_nghệ hương độc_đáo Downy huyền_bí khả_năng lưu_giữ mùi hương trang_phục cử_động . Công_nghệ hương độc_đáo hạt nước_hoa siêu Bí_mật công_nghệ hương nằm hạt nước_hoa siêu đặc_tính linh_hoạt di_chuyển_tự_nhiên con_người . Khi chà nhẹ hạt siêu chứa nước_hoa quyện tỏa mùi hương lý_thú . Đặc_biệt chạm nhẹ cảm_nhận mùi hương tùy nồng_độ hạt ma_sát . Nước xả vải Downy huyền_bí 18L đóng_chai tiện_dụng thuận_tiện rótđổ xảkhi giặt . Lưu_ý Không đổ sản_phẩm quần_áo Để tầm trẻ_em Nếu dính mắt rửa sạch nước_lạnh Hướng_dẫn Rót Downy xả ngăn đựng mềm vải máy_giặt Sau xả phơi quần_áo thường_lệ Giặt_tay 12 nắp 15 20 quần_áo Giặt máy 1 nắp 1 thùng máy_giặt 52L nửa nắp 12 thùng máy_giặt 35L Để tác_dụng đồ jean chăn màn 1 nắp Downy Thông_tin thương_hiệu Downy nhãn hàng xả vải tập_đoàn đa quốc_gia PG công_nghệ hương độc_đáo góp_phần giúp phái_đẹp cuốn_hút đối_diện mùi hương quyến_rũ chạm chà nhẹ quần_áo . Nguời tiêu_dùng Việt_Nam tín_đồ thời_trang vô_cùng hài_lòng lợi_ích thú_vị công_nghệ hương giúp cuộc_sống cuốn_hút hương thơm nuớc hoa .,42,8
adayroi.com,Degrees,Sữa tươi,Sữa hạt dẻ nguyên chất Degrees lốc 3 hộp x 180ml,Giúp chậm oxy hóa . Nhiều vitamin A_B E_giúp sức đề_kháng khả_năng miễn_dịch . Có tác_dụng viêm sung đau khớp . Hỗ_trợ ngăn_ngừa tiểu_đường hệ tim_mạch bổ máu giúp sáng_mắt . Hướng_dẫn bảo_quản Bảo_quản khô_ráo thoáng mát ánh nắng Xuất_xứ Thái_Lan Hương_vị Hạt_dẻ Dung_tích 540ml Thành_phần Sữa hạt_dẻ hạt hạt hướng_dương mật hoa dừa hữu_cơ Hạn 12 sản_xuất Hướng_dẫn Lắc ngon uống lạnh . Sữa hạt_dẻ nguyên_chất Degrees giúp cholesterol xấu bảo_vệ mạch_máu nguy_cơ bệnh tim_mạch . Ngăn_ngừa nguy_cơ phát_triển bệnh tiểu_đường tuýp 2 oxy máu tăng_cường chức_năng não bảo_vệ hệ thần_kinh hệ_thống miễn_dịch cơ_thể . Sản_phẩm giàu lutein zeaxanthin 2 chất chống oxy hóa mạnh_mẽ giúp nguy_cơ phát_triển thoái_hóa vàng đôi mắt khỏe_mạnh . Bảo_vệ da tác_hại tia cực_tím chống lão hóa_sớm nuôi_dưỡng da mềm_mại magievà canxi dồi_dào hạt giúp xương chắc_khỏe . Sữa hạt_dẻ nguyên_chất Degrees Sữa hạt_dẻ nguyên_chất Degrees thức uống gia_đình vô_cùng bổ_dưỡng trí_não tim_mạch hệ tiêu_hóa .,54,9
adayroi.com,OPAL,Trang sức,Bộ trang sức Opal SO-15 đính ngọc trai đen ánh xanh,Chất_liệu Ngọc_trai bạc . Bộ sản_phẩm Mặt dây_chuyền bông_tai nhẫn . Kiểu_dáng sang_trọng quý_phái . Thiết_kế đường viền bạc thành_hình_tròn ôm trọn_viên ngọc_trai . Xuất_xứ Việt_Nam . Ngày hiệu_lực 17082018 Ngày hạn 17082020 Xuất_xứ Việt Nam_Chất_liệu Bạc_Màu_sắc Đen . Bộ trang_sức Opal SO15 đính ngọc_trai đen ánh xanh chất_liệu bạc ngọc_trai đencao thiết_kế đường viền bạctạo thành_hình_tròn ômtrọn viên ngọc_trai tinh tếsẽ phụ_kiện tôn vẻ đẹp sang_trọng đẳng_cấp phái_đẹp bữa tiệc . Bộ sản_phẩm Mặt dây_chuyền bông_tai nhẫn . Thông_tin bảo_hành Sản_phẩm bảo_hành miễn_phí 3 đầu mặt kỹ_thuật Sản_phẩm thu đổi mua sản_phẩm Opal Từ 4 12 bảo_hành phí sản_phẩm Sản_phẩm đi kèm hộp đựngvà phiếu bảo_hành Hướng_dẫn bảo_quản Cất_giữ cẩn_thận sử dụngnên cất hộp mút lót mềm trang_sức chồng méo gãy đứt Tránh trang_sức bạc tiếp xúcvới hóa_chất Không đeo trang_sức thể_thao làm_việc Thông_tin thương_hiệu Sở_hữu thiết_kế độc_đáo khác_biệt Opal tự_tin thương_hiệu trang_sức cập_nhật xu_hướng Việt_Nam . Với tỉ_mỉ tinh_xảo thể_hiện chi_tiết sản_phẩm độ thuần_khiết đá Ross trang_sức Opal tôn_vinh_vẻ đẹp thời_thượng_phong_cách nét thanh_lịch thời_trang đẳng_cấp riêng_biệt phái_đẹp .,74,12
mediamart.vn,Kangaroo,Bình tắm nóng lạnh,Bình nóng lạnh 22L Kangaroo KG69A2N,. Bình nóng_lạnh gián_tiếp 22L Công_nghệ Nano kháng khuẩn . Hệ_thống an_toàn đồng_bộ CSS Lớp cách_nhiệt pu mật_độ . Chống_giật kép Chống đun khô Tiết_kiệm điện_năng . Cài_đặt nhiệt_độ . Hình_ảnh tham_khảo Bình nóng_lạnh 22L Kangaroo KG69A2N . Thông_số kỹ_thuật Bình nóng_lạnh 22L Kangaroo KG69A2N . Thông_tin Bình nóng_lạnh 22L Kangaroo KG69A2N . Dung_tích 22L . Bình tắm nóng lạnh Kangaroo KG69A2N dung_tích 22L đáp_ứng nhu_cầu hộ gia_đình đông thành_viên 45 tiện_dụng . Thiết_kế đẹp_mắt . Bình tắm gián_tiếp thiết_kế sang_trọng tinh_tế bình ngang vàng đem sang_trọng nội_thất . Ruột bình tráng kim_cương nhân_tạo duy_nhất thị_trường độ bền sản_phẩm . Công_nghệ Nano kháng khuẩn . Bình công_nghệ Nano kháng khuẩn cung_cấp nước_sạch an_toàn sức_khỏe . Màn_hình LED hiển_thị . Bình tắm gián_tiếp Kangaroo trang_bị màn_hình LED điện_tử hiển_thị_độ nóng giúp dễ_dàng quan_sát an_toàn . Có_điều_chỉnh nhiệt_độ . Chức_năng điều_chỉnh dạng xoay vặn cạnh bình dễ_dàng thao_tác chủ_động lựa_chọn nhiệt . An_toàn tuyệt_đối . Kangaroo KG69A2N hệ_thống an_toàn đồng_bộ CSS lớp cách_nhiệt pu mật_độ chống giật kép chống đun khô an_toàn tuyệt_đối_với thành_viên gia_đình . Tư_Vấn Mua_Bình tắm nóng lạnh .,31,1
adayroi.com,Kaia,"Giấy, sản phẩm về giấy",Khăn giấy ướt Kaia có nắp (Vàng),Làm nguyên_liệu an_toàn da . Thiết_kế tiện_dụng đảm_bảo_vệ_sinh . Giúp sạch da bảo_vệ làn da hiệu_quả . Màu_sắc Trắng_Chất_liệu Vải dệt Xuất_xứ Việt_Nam Hướng_dẫn bảo_quản Để khô_ráo thoáng mát ánh nắng tầm trẻ_em Hướng_dẫn Gỡ miếng decal mặt rút khăn . Sau dán decal cũ ẩm khuẩn Thành_phần Vải dệt Xuất_xứ Việt_Nam . Khăn giấy ướt Kaia nắp ​ sản_phẩm sản_xuất dựa dây_chuyền công_nghệ_cao chất_lượng . Khăn giấy ướt thành_phần an_toàn vải dệt_thiên_nhiên kết_cấu sợi vải chặt_chẽ thấm bẩn . Sử_dụng mục_đích cuộc_sống an_toàn vệ_sinh Khăn giấy ướt ​ thiết_kế tiện_dụng dạng gói dễ_dàng . Phần nắp sản_phẩm nhựa thiết_kế miếng decal giúp ẩm khuẩn hiệu_quả . Khăn giấy ướt Kaia nắp sản_xuất công_thức giúp sạch da nhờn bọt an_toàn làn da bé . Sản_phẩm mục_đích tùy nhu_cầu .,45,8
sendo.vn,,Sữa cho người ăn kiêng,milkmilk BoneCare 900G cho xương khớp chắc khỏe,THUỘC TÍNH SẢN_PHẨM Xuất_xứ Việt_Nam . CHI_TIẾT SẢN_PHẨM Để khô_ráo thoáng mát . Đậy_kỹ nắp hộp . Chỉ thời_hạn in đáy lon . Nên vòng 30 lon . ￼ sản_phẩm dinh_dưỡng béo bổ_sung dưỡng_chất cần_thiết giúp cơ_thể khỏe_mạnh cân_bằng huyết_áp tim_mạch phòng_ngừa loãng_xương tiểu_đường . ￼ chứa Glucosamine chất khả_năng vận_động bôi_trơn khớp xương . Bổ_sung EPA DHA tăng_cường cải_thiện trí_nhớ chậm lão_hóa hoạt_động trí_não phòng_ngừa bệnh_lý thần_kinh tim_mạch . ￼ người_lớn tiểu_đường cholesterol máu . Đặc_biệt bệnh xương khớp . Mỗi uống 23 ly sữa ￼ cung_cấp đầy_đủ dưỡng_chất cần_thiết cơ_thể khỏe_mạnh .,48,9
mediamart.vn,Lenovo,Máy tính bảng,"Máy tính bảng Lenovo Yoga book, Atom X5-Z8550 - Champagne Gold",. Bàn_phím độc_đáo thiết_kế cảm_ứng . Yoga_Book thiết_bị lai laptop máy_tính bảng 2 1 . Vi intel tốc_độ nhanh_chóng đa_nhiệm mượt_mà . Hình_ảnh tham_khảo Máy_tính bảng Lenovo_Yoga book Atom X5Z8550_Champagne Gold . Thông_số kỹ_thuật Máy_tính bảng Lenovo_Yoga book Atom X5Z8550_Champagne Gold . Thông_tin . Hệ điều_hành . Window 10 . Màn_hình . Loại màn_hình . IPS LCD. Độ phân_giải . 1080 x 1920 pixels . Màn_hình Size . 10.1 inch . Công_nghệ cảm_ứng . Điện_dung Đa . CPU RAM. CPU Chipset . Intel_Atom X5Z8550 . Số_nhân CPU. 4 nhân . Tốc_độ tối_đa . 2.4 Ghz . RAM. 4 GB. Bộ_nhớ Lưu_trữ . Bộ_nhớ ROM. 64 GB. Thẻ_nhớ . Micro SD. Hỗ_trợ thẻ tối_đa . 128 GB. Chụp ảnh Quay_phim . Camera . 8 MP. Tính_năng camera . Tự_động nét Nhận_diện khuôn_mặt . Kết_nối Cổng giao_tiếp . 3G . Có . 4G . Có . WiFi . WiFi 802.11 abgnac . Hỗ_trợ sim . Nano_Sim . GPS. Có . Bluetooth . Có . Cổng kết nốisạc . USB TypeC . Jack tai_nghe . 3.5 mm . Giải_trí Ứng_dụng . Xem phim . AVI DivX H. 264MPEG4AVC WMV MP4 3GP GIF ACC FLV MPEG4 . Nghe nhạc . FLAC WMA WAV MP3 MIDI AC3 . Thẻ_nhớ . Thông_tin Máy_tính bảng Lenovo_Yoga book Atom X5Z8550_Champagne Gold . Nếu cầm Yoga Book ấn_tượng . Không trọng_lượng nhẹ kích_cỡ giá tính_năng độc_đáo trải nghiệm viết giấy mà_chữ lập_tức màn_hình giấy . Lenovo_Yoga Book máy_tính bảng sáng_tạo tiện_dụng . Bằng khớp linh_hoạt kiểu dây đồng_hồ Lenovo . Bạn biến Yoga Book thành thiết_bị dạng trình_chiếu . Hoặc cầm tablet . Ở hình_dạng laptop vẽ bề_mặt cảm_ứng . Để_ý kỹ đường chấm bàn_phím ẩn đi . Khi nhấn nút hình cây_bút mặt cảm_ứng bàn_phím hiện . Chi_tiết bàn_phím cảm_giác gõ hơi khó_chịu đầu quen bàn_phím nông bàn_phím rung phản_hồi . Tất_nhiên so_sánh bàn_phím laptop thông_thường . Phần thân Lenovo_Yoga Book màn_hình cảm_ứng máy chạy Windows Android . Có cổng HDMI kết_nối cổng USB C. Nên đối_xử máy_tính Windows kết_nối hơi . Đây tập giấy nhấc . Tập giấy nam_châm hít mặt cảm_ứng tiện . Hết giấy thay giấy quyển sổ lên_mặt Yoga_Book viết . Quyển sổ mỏng 1 BẤT_CỨ SỔ NÀO . Ở người_ta vẽ giấy tự_động chữ màn_hình . Ở đầu cây_bút cảm_ứng miếng che viết giấy bóc miếng nhựa che đầu viết . Nhìn_chung sản_phẩm sáng_tạo tiềm_năng . Nó sản_phẩm . Một_số tablet cũ tham_vọng 2 màn_hình Yoga_Book tiện_lợi . ​ . Cấu_hình cơ_bản Lenovo_Yoga Book . Màn_hình 101 độ phân_giải 1920 x 1200 . CPU Intel_Atom x5 . GPU tích_hợp . RAM 4GB . Camera 2MP . Camera 8MP . Pin 15 tiếng Android 13 tiếng Windows . Hệ điều_hành Android 6.0 Windows 10 . Tính_năng bề_mặt cảm_ứng bàn_phím truyền_thống . Kết_nối NFC Bluetooth 4.0 WiFi abgnac USB. Bộ_nhớ trongThẻ 64GB mở_rộng thẻ microSD . Tư_Vấn Mua Máy_tính bảng .,4,1
mediamart.vn,KDK,Quạt,Quạt trần 4 cánh có điều khiển màu bạc KDK M56XR (SL)(Malayxia),. Cánh thép sơn chống gỉ độ bền_cơ_học . Hệ_thống bảo_vệ động_cơ cầu trì bảo_vệ nhiệt . Điều_khiển phím bấm tiện_lợi . Hình_ảnh tham_khảo Quạt_trần 4 cánh điều_khiển màu bạc KDK M56XR SLMalayxia . Thông_số kỹ_thuật Quạt_trần 4 cánh điều_khiển màu bạc KDK M56XR SLMalayxia . Thông_tin Quạt_trần 4 cánh điều_khiển màu bạc KDK M56XR SLMalayxia . Quạt_trần 4 cánh . Hẹn 1h3h6h . Điều_khiển . Đường_kính cánh 1400mm . 3 tốc_độ gió . Cánh thép sơn chống gỉ . Hệ_thống bảo_vệ động_cơ cầu trì bảo_vệ nhiệt . Tư_Vấn Mua Quạt mát .,87,1
adayroi.com,GOOD CARE,"Hóa phẩm, chất tẩy",Nước giặt GOOD CARE hương hoa hồng 1.8L,Giúp loại_bỏ vết vẩn dầu_mỡ hiệu_quả . Giữ quần_áo sạch_sẽ chất cặn . Là sản_phẩm giặt giặt máy . Dung_tích 1800ml Xuất_xứ Hàn_Quốc_Thành_phần Nước hoạt_tính bề_mặt tinh_dầu hoa_hồng . Mùi hương Hương_hoa_hồng . Nước giặt GOOD CARE hương_hoa hồng1 . 8L nguồn_gốc thực_vật giặt đậm đặcloại vết bẩn dầu_mỡ hiệu_quả . Nước giặt máy_giặt giặt giúp giặt_giũ trở_nên nhẹ_nhàng giúp nội_trợ tiết_kiệm công_sức . Nước giặt GOOD CARE hương thơm tinh_dầu giúp màu quần_áo bảo_vệ làn da . Hương_hoa hồngnhẹ nhàng dễ_chịu thơm mát . Hướng_dẫn bảo_quản Dùng 36ml giặt giặt5kg quần_áo Để tháng_mát Tránh tầm trẻ_em,42,8
